month,genre1,genre2,genre3,genre4,genre5
8,Drama,#N/A,#N/A,#N/A,#N/A
8,Action,Horror,SF,Thriller,#N/A
8,Action,Comedy,#N/A,#N/A,#N/A
8,Action,Drama,#N/A,#N/A,#N/A
8,Action,#N/A,#N/A,#N/A,#N/A
8,Horror,Thriller,#N/A,#N/A,#N/A
8,Melodrama/Romance,Drama,#N/A,#N/A,#N/A
8,Drama,#N/A,#N/A,#N/A,#N/A
8,Horror,#N/A,#N/A,#N/A,#N/A
9,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
9,Action,Thriller,#N/A,#N/A,#N/A
9,Action,Drama,#N/A,#N/A,#N/A
9,Action,Horror,SF,Thriller,#N/A
9,Comedy,#N/A,#N/A,#N/A,#N/A
9,Drama,Melodrama/Romance,#N/A,#N/A,#N/A
9,Action,Comedy,Melodrama/Romance,Thriller,#N/A
9,Drama,#N/A,#N/A,#N/A,#N/A
9,Drama,Thriller,#N/A,#N/A,#N/A
9,Comedy,Action,#N/A,#N/A,#N/A
9,Comedy,#N/A,#N/A,#N/A,#N/A
9,Drama,#N/A,#N/A,#N/A,#N/A
9,Drama,#N/A,#N/A,#N/A,#N/A
9,Action,Drama,#N/A,#N/A,#N/A
